Komoditas,Luas Panen Padi,GKP Tingkat Petani,GKP Tingkat Penggilingan,GKG Tingkat Penggilingan,Beras Medium Penggilingan,Beras Premium Penggilingan,Jagung Pipilan Kering,Kedelai Biji Kering (Lokal),Bawang Merah,Cabai Merah Keriting,Cabai Rawit Merah,Sapi (Hidup),Ayam Ras Pedaging (Hidup),Telur Ayam Ras,Stok GKG Tingkat Penggilingan,Stok Beras Tingkat Penggilingan
01/01/2020,20,3.700,4.000,4.500,8.200,9.200,-,-,-,-,-,-,-,-,600,150
02/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
04/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
05/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
07/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31/01/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
04/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
05/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
07/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12/02/2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
